Number,Dept,Professor,Median Grade,Semester,# of Students,Notes
246,EAS 2900,Wysocki,B,SP19,17,
297,ENGL 1191 (FWS: British Literature),Various (FWS),A,SP19,77,
129,BTRY 4030,Giles,B+,FA18,64,
101,BIOMG 2801,Blake,B+,FA18,142,
62,ASIAN 1111,Burgess,A,FA18,64,
81,BEE 4750,Anderson,A-,FA18,43,
80,BEE 4730,Walter,A-,FA18,49,
91,BIOEE 2070,Fletcher,A,FA18,34,
288,ENGL 1147,Various (FWS),A,FA18,99,
160,CHIN 1101,Divo,A-,FA18,45,
506,MUSIC 2101,Moseley,B+,FA18,27,
475,MATH 2310,Borum,A-,FA18,37,N
462,MATH 1220,Benjimin,B+,FA18,10,
444,MAE 3050,Bewley,A-,FA18,45,
440,LING 3321,Alkire,A,FA18,19,
431,ITAL 1113,Wittelsbach,A,FA18,16,
414,ILRLR 3300,Nelson,A,FA18,178,
412,ILRLR 3055,Nelson,A,FA18,48,
608,SPAN 2070,Arias Fuentes,A-,FA18,47,
345,GOVT 2225,Haskins,A,FA18,249,
592,PSYCH 1103,Pizarro/Werth/Others,A+,FA18,29,PSYCH 1101 opt supplement
237,EAS 1330,Wysocki,A-,FA18,11,Rubric usually TA-designed
236,EAS 1310,Wysocki,B-,FA18,32,
234,DSOC 2710,Sipple,A-,FA18,64,
227,DEA 3510,Hedge,B,FA18,14,
175,COMM 2200,Humphreys,A-,FA18,95,Cookie Cutter Essays
140,CEE 4510,Richardson,A-,FA17,44,
171,COML 1109,Various (FWS),A-,FA17,,
